Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2022-01-24,2541.52865,2411.9,2549.26,2373.84
ETH,2022-01-25,2442.806399,2541.70629,2541.70629,2160.84
ETH,2022-01-26,2458.695122,2442.78533,2508.06,2351.91
ETH,2022-01-27,2463.591361,2458.758212,2722.46,2405.8
ETH,2022-01-28,2425.17,2463.639612,2520.03,2317.900907
ETH,2022-01-29,2547.4,2425.24,2557.74,2360.95
ETH,2022-01-30,2601.92,2547.4,2636.26,2523
ETH,2022-01-31,2604.370991,2601.92,2638.42,2544.74
ETH,2022-02-01,2689.271292,2604.275906,2705.78,2479.78
ETH,2022-02-02,2790.066867,2689.323746,2813.19,2677.03
ETH,2022-02-03,2682.36,2790.002983,2811.79,2615.15
ETH,2022-02-04,2695.436,2682.66,2725.620831,2579.48
ETH,2022-02-05,2996.531122,2695.436,2997.7,2674.436945
ETH,2022-02-06,3015.345473,2996.747128,3062.9,2963.860728
ETH,2022-02-07,3058.17,3015.303187,3074.65,2956.09
ETH,2022-02-08,3141.105359,3058.1717,3188.695923,2997.329359
ETH,2022-02-09,3118.984605,3141.057242,3232.89,3030
ETH,2022-02-10,3246.733353,3119.129901,3272,3058.11
ETH,2022-02-11,3074.102905,3246.755026,3282.66,3061.13
